"Total population by age group, sex, region, province, and highly urbanized city: 2010"

"Geolocation";"2010 Male Below 5";"2010 Male 5-9";"2010 Male 10-14";"2010 Male 15-19";"2010 Male 20-24";"2010 Male 25-29";"2010 Male 30-34";"2010 Male 35-39";"2010 Male 40-44";"2010 Male 45-49";"2010 Male 50-54";"2010 Male 55-59";"2010 Male 60-64";"2010 Male 65-69";"2010 Male 70-74";"2010 Male 75-79";"2010 Male 80 and over";"2010 Female Below 5";"2010 Female 5-9";"2010 Female 10-14";"2010 Female 15-19";"2010 Female 20-24";"2010 Female 25-29";"2010 Female 30-34";"2010 Female 35-39";"2010 Female 40-44";"2010 Female 45-49";"2010 Female 50-54";"2010 Female 55-59";"2010 Female 60-64";"2010 Female 65-69";"2010 Female 70-74";"2010 Female 75-79";"2010 Female 80 and over"
"PHILIPPINES";5293211;5332287;5237006;4931506;4256999;3746311;3443582;3057323;2778661;2367809;1953952;1475861;1064116;680227;492152;286079;237175;4940573;4989256;4942604;4773848;4151657;3677412;3329347;2956630;2692927;2312840;1940898;1511287;1164283;817330;650410;421036;428518
"..National Capital Region (NCR)";607086;591812;573633;562466;579410;564809;512395;426504;371312;308970;254811;184773;129979;67275;45303;25404;19976;565180;550448;546520;598710;630244;600472;519373;430555;385816;328620;275329;204090;150991;88509;68743;43806;42651
"....City of Manila";83611;80851;76951;80866;85561;80144;69898;56838;50361;42834;35818;26443;18855;9538;6660;3770;2789;78755;75505;73430;86781;91326;82686;68739;56093;52066;45324;38811;29755;22769;13273;10847;7298;6925
"....City of Mandaluyong";15194;15297;14493;15185;16983;16959;14548;11996;10097;8564;7551;5673;4347;1916;1364;822;1246;13681;13268;14000;15685;17587;17366;14662;12200;11036;10459;8789;5925;4433;2609;2124;1301;1339
"....City of Marikina";19126;20300;21090;20783;19998;18712;17347;14863;13703;11389;9680;7201;5461;2799;2255;1262;852;17903;19188;20073;21879;21724;20050;17941;15551;14545;12327;10460;8231;6485;3838;3170;2069;1895
"....City of Pasig";33683;33385;32202;29843;31446;32407;30478;25728;21221;16737;13550;9766;7414;3792;2615;1507;1101;31218;30751;30612;32414;35526;35126;31782;26108;22205;17926;15320;11498;8808;5045;3846;2452;2261
"....Quezon City";143170;138317;133959;133765;136397;130991;116652;97503;85439;70619;57762;40999;28045;14748;9883;5895;4872;131038;128147;128697;144875;150922;140641;120753;100645;90484;76832;63701;46451;33163;19997;15644;10000;10714
"....City of San Juan";4512;4634;4827;5038;5330;5353;4900;4266;3798;3334;2673;2219;1535;939;602;373;463;4166;4772;5009;6470;7291;7019;5838;4830;4824;4207;3434;2537;2194;1081;981;890;1091
"....Caloocan City";82393;80733;78936;74581;70863;66322;61173;52185;47161;39737;32197;22750;15323;8123;5245;2632;1759;77716;75005;75281;76294;73237;68361;60994;51533;47022;40522;32931;23910;17635;10089;7799;4525;4073
"....City of Malabon";18195;18679;18063;17387;17029;15970;15070;12720;11317;9342;7906;5838;4193;2064;1416;703;558;17389;17242;17136;17252;17064;16200;14774;12356;11196;9647;8307;6150;4697;2767;2119;1317;1274
"....City of Navotas";14610;14117;13224;12421;11846;11053;10363;8865;7816;6594;5419;3895;2687;1404;878;419;313;13461;13003;12725;12361;11691;10964;9590;8487;7625;6438;5348;4004;3023;1751;1284;813;639
"....City of Valenzuela";31599;30182;28724;26828;28436;28652;26328;21826;18130;14911;11993;8618;5776;3003;1963;1009;681;29183;28455;26930;27423;29414;28703;25656;20874;17795;14862;12180;9099;6449;3719;2843;1669;1443
"....City of Las Pinas";27814;27828;27410;26149;25581;24386;23185;19607;16851;13657;11795;9037;6720;3687;2324;1208;875;25771;26380;26050;28060;28702;27780;24810;20845;18095;15419;12960;10200;7873;4467;3214;1943;1890
"....City of Makati";22625;21666;21791;21971;25697;27024;24159;18632;16167;14282;11749;8786;6307;3309;2170;1607;1567;21247;20533;20854;25332;30965;32085;26026;20953;18789;15926;14379;10586;7909;4774;3653;2801;2718
"....City of Muntinlupa";22166;21859;21318;20422;21863;23284;22110;19086;16229;13614;11440;8053;5741;3032;1803;917;669;20911;20278;19872;21765;23501;23554;20335;16682;14550;12330;10743;7910;5743;3119;2352;1342;1348
"....City of Paranaque";28885;28358;28366;27324;28000;27724;24911;21318;18467;15549;13005;9440;6575;3493;2488;1488;980;26621;25286;26041;28949;31946;30857;26727;22764;20570;17399;14288;10334;7598;4454;3454;2211;2256
"....Pasay City";19510;18278;17802;17839;20493;20794;18157;14205;12105;9747;7859;5763;4459;2208;1574;778;526;18592;17760;16890;19240;22718;22239;17913;14464;12451;10319;8391;6608;4846;3407;2383;1361;1190
"....Pateros";3275;3247;3238;2989;2979;2901;2575;2321;2127;1693;1339;1059;834;445;327;168;111;2963;2993;2970;3089;3161;3053;2765;2283;2140;1762;1489;1226;944;585;490;293;313
"....Taguig City";36718;34081;31239;29075;30908;32133;30541;24545;20323;16367;13075;9233;5707;2775;1736;846;614;34565;31882;29950;30841;33469;33788;30068;23887;20423;16921;13798;9666;6422;3534;2540;1521;1282
"..Cordillera Administrative Region (CAR)";88032;89960;86887;91891;85694;72057;60306;50712;46987;41724;34502;25753;17625;11789;9649;6057;5316;82142;83470;82374;90486;82945;66478;54879;46417;44008;39358;33388;24945;18681;13700;12278;7910;8467
"....Abra";12803;13219;12248;12207;10876;9876;8634;7216;6855;6285;5497;4289;3060;2065;1937;1258;1363;12002;12524;11394;11310;10028;8866;7775;6670;6390;5854;5284;4320;3434;2587;2619;1776;2212
"....Apayao";6516;6586;6749;6356;5244;4569;4262;3813;3394;2940;2402;1753;1250;896;683;467;372;6002;6118;6423;5868;4842;4225;3833;3434;2968;2730;2293;1655;1304;950;802;481;456
"....Benguet (excluding Baguio City)";21405;21504;20900;23049;23069;19590;15675;13097;12310;11061;9192;6565;4183;2788;2182;1284;1076;20083;19904;19939;22815;22032;17359;13623;11414;11029;9849;8053;5868;4162;3084;2593;1600;1607
"....Baguio City";15246;15754;14745;18074;18230;15071;12399;10037;9305;8168;6701;4689;3322;1821;1308;735;654;14279;14503;13983;19510;20090;15894;12515;10287;9987;8770;7063;5221;3725;2367;1848;1125;1250
"....Ifugao";11347;11390;11140;11415;10226;8447;6974;5815;5124;4495;3588;2826;1818;1294;1169;819;563;10578;10575;10783;11089;9424;7322;6057;4906;4701;4253;3626;2621;1888;1468;1470;1016;851
"....Kalinga";12006;12332;12126;11711;10086;8247;7093;6213;5681;4951;3978;3149;2274;1578;1257;761;550;10908;11316;11511;11438;9283;7233;6377;5690;5213;4527;4020;2987;2294;1716;1438;805;864
"....Mountain Province";8709;9175;8979;9079;7963;6257;5269;4521;4318;3824;3144;2482;1718;1347;1113;733;738;8290;8530;8341;8456;7246;5579;4699;4016;3720;3375;3049;2273;1874;1528;1508;1107;1227
"..Region I (Ilocos Region)";257323;260681;256819;245559;211496;192035;174898;157334;146297;125890;105748;82482;64090;42399;31551;19665;20664;237922;241398;239078;229289;201261;184572;167197;150252;139710;122907;105989;87220;74189;54473;45335;31828;40821
"....Ilocos Norte";28537;28554;27766;26724;25214;24302;21791;19599;18354;15692;13180;10371;7851;5956;4779;2964;3600;26121;26346;25563;25535;24555;22985;20822;18665;17743;15651;13458;11375;9144;7401;6300;4508;6611
"....Ilocos Sur";33231;33820;32446;32697;29554;27873;25598;22177;20849;18446;15294;11950;8873;6349;5044;3213;3726;30829;31039;30162;30460;27618;26786;23964;20941;19718;17997;15289;12955;10441;8570;7690;5281;7707
"....La Union";37943;38551;39068;38193;33742;31150;27951;24641;23381;20563;17604;13430;10129;6354;4928;3126;3160;35055;35571;36049;35857;32258;29741;26533;23504;22376;20289;17732;14160;11804;8087;7349;5055;6572
"....Pangasinan";157612;159756;157539;147945;122986;108710;99558;90917;83713;71189;59670;46731;37237;23740;16800;10362;10178;145917;148442;147304;137437;116830;105060;95878;87142;79873;68970;59510;48730;42800;30415;23996;16984;19931
"..Region II (Cagayan Valley)";178723;174427;177146;174938;150934;130370;121926;110000;100644;90608;76178;56717;38519;24302;19727;11696;10246;166483;161900;165378;164259;141816;123045;115230;103105;94532;86293;73136;57080;41586;29101;25772;16378;16968
"....Batanes";801;906;951;825;647;597;621;584;551;462;338;294;224;198;143;109;120;779;859;936;710;573;538;525;596;462;447;341;314;262;262;226;172;231
"....Cagayan";60950;59559;62543;61544;51976;44415;40659;37345;34068;31691;26997;20339;13553;8943;7734;4843;4351;56440;55133;58326;57394;48610;42020;39173;35165;32357;30601;26612;21019;15201;10941;10233;6813;7225
"....Isabela";83456;80308;80493;80530;70377;60248;57521;51682;47387;42227;34987;25683;17624;10928;8479;4739;3975;77663;74303;75375;75466;66258;57273;54439;48680;44710;39747;33115;25733;18857;13097;11006;6624;6655
"....Nueva Vizcaya";23238;23573;23254;22319;19601;17742;16188;14280;13214;11513;9837;7316;5143;2971;2430;1478;1300;22005;22314;21620;21409;18763;16441;14751;13072;12144;10980;9256;7256;5277;3408;3116;2036;2110
"....Quirino";10278;10081;9905;9720;8333;7368;6937;6109;5424;4715;4019;3085;1975;1262;941;527;500;9596;9291;9121;9280;7612;6773;6342;5592;4859;4518;3812;2758;1989;1393;1191;733;747
"..Region III (Central Luzon)";558202;561084;552095;520038;463966;418043;394707;351280;327563;271853;223755;167759;125448;74248;53474;30256;25330;516684;518949;516298;498564;451881;413442;385671;340276;317522;264995;221444;172995;138156;90139;72464;48259;50897
"....Aurora";12361;12340;12627;11600;8945;7291;6964;6581;6100;5366;4276;3203;2319;1551;1103;586;495;11709;11743;11848;10452;8036;6705;6440;6099;5553;4660;4012;3060;2406;1703;1336;873;890
"....Bataan";38539;37709;37451;35332;32296;29241;26885;22632;21370;18357;15834;11893;8692;4320;3245;1924;1637;35724;34881;34263;33550;31323;28693;26557;22282;21233;18573;16149;12591;9110;5076;4099;2954;3067
"....Bulacan";157833;159600;157686;147634;131255;121918;118211;103589;96160;78447;63782;47732;34813;19842;13689;7604;6034;146528;148002;149035;143568;130508;123231;117277;102390;95243;78177;64436;50146;39545;25163;19510;12686;13159
"....Nueva Ecija";110016;106861;104947;102367;88652;79410;74620;66948;63615;53973;44390;32959;23732;16102;11361;6331;5744;101955;98387;97805;97011;85139;76405;71738;64278;60834;51473;43107;33448;26036;18973;15467;10116;11173
"....Pampanga (excluding Angeles City)";108129;112861;110865;103046;93587;83800;79760;70589;65833;52788;43362;32537;25283;14657;10984;6409;5003;99601;104999;103614;99245;90741;82802;77364;67784;62768;51072;42302;32906;27429;17544;14384;9940;10031
"....Angeles City";17369;17719;16892;16252;15785;14399;12978;11381;10256;8491;6838;4872;3763;1968;1406;803;619;15994;16534;16451;16854;17209;15593;13270;11358;10191;8419;6767;5259;4095;2350;1813;1219;1169
"....Tarlac";71427;71861;70309;66388;57767;51056;47924;43940;40507;34168;28360;21536;16631;10125;7544;4188;3715;65512;65862;64845;61791;54547;49402;45925;41803;38764;32674;27554;21945;18370;12340;10055;6875;7530
"....Zambales (excluding Olongapo City)";30752;30159;29325;26711;25098;21616;19031;17810;16950;14651;12326;9470;7387;4187;3138;1851;1671;28899;27604;27355;25300;23103;20543;18223;16622;16143;13961;12095;9545;7760;5066;4314;2704;3073
"....Olongapo City";11776;11974;11993;10708;10581;9312;8334;7810;6772;5612;4587;3557;2828;1496;1004;560;412;10762;10937;11082;10793;11275;10068;8877;7660;6793;5986;5022;4095;3405;1924;1486;892;805
"..Region IV-A (Calabarzon)";709922;701953;683643;630650;568296;529750;504776;440426;396135;328076;270232;200180;138032;80418;55610;31274;24220;657738;653789;646219;625119;581063;550237;512465;436190;393087;326899;274032;211404;158279;104033;80503;52710;52443
"....Batangas";132111;132314;129676;121258;106440;100021;92725;82486;73475;59882;50517;38622;28521;17520;12495;7767;6753;121864;123257;121994;118031;104756;100007;91205;79599;71371;58165;50259;41118;33878;23182;18505;13168;14453
"....Cavite";169287;167620;160904;147892;140251;132149;127430;111195;99609;81806;64571;46168;32112;17579;12641;6871;5323;157239;156402;154379;151501;148589;143193;135169;114286;102002;83324;67130;50129;37792;23722;18822;12059;11545
"....Laguna";148894;144396;136778;128052;123529;117833;112621;93792;83851;68998;57742;43102;28345;16056;10753;5968;4560;137681;133980;128240;128850;130524;125872;116142;93290;83444;70779;59404;45845;32551;21172;16094;10338;10371
"....Quezon (excluding Lucena City)";104243;104913;107164;95900;75983;64424;61172;55636;53139;45575;38804;29138;19899;13375;9676;5368;3933;97498;97884;100592;88804;70972;61088;57518;52442;49454;42707;36805;28919;21895;16327;12846;8366;8179
"....Lucena City";14533;13569;13804;13067;11423;10176;9092;7962;7387;6546;5262;3920;2621;1524;964;562;362;13406;12987;13045;13192;11585;10009;9115;7868;7600;6498;5429;4226;3046;2069;1495;1026;1022
"....Rizal";140854;139141;135317;124481;110670;105147;101736;89355;78674;65269;53336;39230;26534;14364;9081;4738;3289;130050;129279;127969;124741;114637;110068;103316;88705;79216;65426;55005;41167;29117;17561;12741;7753;6873
"..Mimaropa Region";171998;175765;175791;155570;119334;101873;94661;87271;78489;68326;56594;42532;31365;20911;15000;8828;6928;160372;164113;165233;145241;110742;95774;86757;79432;71624;62184;52950;40532;32242;23764;18797;11872;11806
"....Marinduque";12837;13917;15079;12684;8557;6941;7118;6724;6613;5729;5364;4398;3612;2486;1731;1035;755;11981;13048;13801;11302;7490;6618;6698;6629;6438;5727;5385;4533;3891;3019;2325;1693;1670
"....Occidental Mindoro";30456;29949;28623;25375;19887;17384;15875;14733;12946;11058;9024;6614;4839;3080;2277;1331;1058;28183;27948;27015;23370;18213;15901;14362;13141;11728;9900;8209;6103;4968;3412;2780;1664;1565
"....Oriental Mindoro";47754;48802;50142;45005;33994;28733;27337;25206;22660;19500;16048;12493;8740;5601;4063;2338;1889;44648;45525;47359;41510;31963;27781;25898;23607;21285;18255;15976;12330;9625;6878;5503;3540;3614
"....Palawan (excluding Puerto Princesa City)";51895;52076;50326;43594;34480;30202;27145;24325;20986;18642;15008;10995;8412;5583;3842;2282;1805;48731;49010;47618;41453;31899;27574;23819;21362;18309;16093;13070;9631;7444;5319;4098;2378;2261
