"Number of Registered Marriages by Age Group of Male and Place of Occurrence (Region, Province and HUCs), Philippines: 2013-2022"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1A__VS__MA/1001A1BMAR0.px/table/tableViewLayout1/?rxid=755d6dde-6b4c-467c-8864-6839e23553f5"
"Geolocation";"2013 Total";"2013 Under 15";"2013 15 - 19";"2013 20 - 24";"2013 25 - 29";"2013 30 - 34";"2013 35 - 39";"2013 40 - 44";"2013 45 - 49";"2013 50 - 54";"2013 55 - 59";"2013 60 and Over";"2013 Not Stated";"2014 Total";"2014 Under 15";"2014 15 - 19";"2014 20 - 24";"2014 25 - 29";"2014 30 - 34";"2014 35 - 39";"2014 40 - 44";"2014 45 - 49";"2014 50 - 54";"2014 55 - 59";"2014 60 and Over";"2014 Not Stated";"2015 Total";"2015 Under 15";"2015 15 - 19";"2015 20 - 24";"2015 25 - 29";"2015 30 - 34";"2015 35 - 39";"2015 40 - 44";"2015 45 - 49";"2015 50 - 54";"2015 55 - 59";"2015 60 and Over";"2015 Not Stated";"2016 Total";"2016 Under 15";"2016 15 - 19";"2016 20 - 24";"2016 25 - 29";"2016 30 - 34";"2016 35 - 39";"2016 40 - 44";"2016 45 - 49";"2016 50 - 54";"2016 55 - 59";"2016 60 and Over";"2016 Not Stated";"2017 Total";"2017 Under 15";"2017 15 - 19";"2017 20 - 24";"2017 25 - 29";"2017 30 - 34";"2017 35 - 39";"2017 40 - 44";"2017 45 - 49";"2017 50 - 54";"2017 55 - 59";"2017 60 and Over";"2017 Not Stated";"2018 Total";"2018 Under 15";"2018 15 - 19";"2018 20 - 24";"2018 25 - 29";"2018 30 - 34";"2018 35 - 39";"2018 40 - 44";"2018 45 - 49";"2018 50 - 54";"2018 55 - 59";"2018 60 and Over";"2018 Not Stated";"2019 Total";"2019 Under 15";"2019 15 - 19";"2019 20 - 24";"2019 25 - 29";"2019 30 - 34";"2019 35 - 39";"2019 40 - 44";"2019 45 - 49";"2019 50 - 54";"2019 55 - 59";"2019 60 and Over";"2019 Not Stated";"2020 Total";"2020 Under 15";"2020 15 - 19";"2020 20 - 24";"2020 25 - 29";"2020 30 - 34";"2020 35 - 39";"2020 40 - 44";"2020 45 - 49";"2020 50 - 54";"2020 55 - 59";"2020 60 and Over";"2020 Not Stated";"2021 Total";"2021 Under 15";"2021 15 - 19";"2021 20 - 24";"2021 25 - 29";"2021 30 - 34";"2021 35 - 39";"2021 40 - 44";"2021 45 - 49";"2021 50 - 54";"2021 55 - 59";"2021 60 and Over";"2021 Not Stated";"2022 Total";"2022 Under 15";"2022 15 - 19";"2022 20 - 24";"2022 25 - 29";"2022 30 - 34";"2022 35 - 39";"2022 40 - 44";"2022 45 - 49";"2022 50 - 54";"2022 55 - 59";"2022 60 and Over";"2022 Not Stated"
"REGION II (CAGAYAN VALLEY)";22168;0;1377;8489;6716;3082;1191;538;301;194;119;159;2;21117;0;1203;7723;6641;3037;1209;519;267;206;113;198;1;20743;0;1132;7468;6589;3065;1224;497;268;174;129;195;2;20304;0;1096;7227;6665;3003;1180;484;226;141;111;170;1;19111;0;841;6424;6665;3018;1100;416;230;147;95;175;0;19434;0;736;6016;7047;3216;1237;445;278;147;120;189;3;19694;0;645;6026;7181;3268;1271;552;258;178;114;200;1;9348;0;213;2554;3726;1651;601;247;120;79;46;111;0;12799;0;302;3273;5307;2469;762;308;131;90;62;95;0;19073;0;504;4452;7525;3895;1389;595;243;163;122;185;0
"..BATANES";59;0;0;10;15;16;10;5;0;1;0;2;0;38;0;0;3;13;9;9;2;1;1;0;0;0;61;0;0;3;21;23;5;6;1;1;1;0;0;78;0;1;8;25;25;13;1;1;0;3;1;0;67;0;2;4;22;21;10;4;2;1;0;1;0;71;0;0;4;24;25;12;3;1;2;0;0;0;86;0;0;3;29;36;12;4;1;0;0;1;0;46;0;1;1;20;15;8;1;0;0;0;0;0;53;0;0;3;19;19;7;5;0;0;0;0;0;94;0;0;5;25;35;15;7;3;2;1;1;0
"..CAGAYAN";7531;0;488;2862;2353;1012;380;164;92;72;43;63;2;6766;0;375;2434;2149;1003;382;182;73;70;38;60;0;6458;0;330;2241;2087;988;386;156;93;63;53;59;2;7001;0;363;2408;2363;1035;420;173;81;42;48;67;1;6059;0;257;1926;2199;982;349;125;75;54;32;60;0;6171;0;235;1819;2280;1040;409;135;87;43;54;66;3;6546;0;187;1995;2407;1111;425;173;75;49;47;76;1;2914;0;70;767;1171;513;178;96;35;29;11;44;0;3947;0;82;944;1676;809;228;84;42;33;17;32;0;6151;0;124;1327;2509;1306;433;205;82;62;37;66;0
"..ISABELA";10419;0;689;4114;3057;1398;555;255;155;83;52;61;0;10289;0;625;3873;3168;1411;587;236;134;100;52;102;1;9980;0;604;3772;3167;1367;538;218;110;68;49;87;0;9987;0;572;3685;3198;1446;541;241;107;80;41;76;0;9328;0;437;3283;3168;1419;505;218;102;65;47;84;0;9498;0;354;3087;3439;1471;561;218;141;81;46;100;0;9456;0;346;2942;3439;1464;598;281;141;90;57;98;0;4489;0;108;1258;1799;773;289;98;60;31;26;47;0;6013;0;132;1567;2508;1131;359;145;60;42;33;36;0;8966;0;261;2186;3521;1758;656;265;112;73;52;82;0
"..NUEVA VIZCAYA";2873;0;126;1008;910;465;179;81;41;29;17;17;0;2905;0;144;986;954;449;186;75;41;24;18;28;0;2983;0;133;989;927;516;205;86;46;27;16;38;0;2066;0;94;672;721;325;133;54;24;11;12;20;0;2554;0;93;801;909;436;180;51;35;15;12;22;0;2562;0;104;730;937;465;193;52;31;14;18;18;0;2476;0;71;723;905;468;162;63;27;31;10;16;0;1336;0;26;364;515;256;95;30;18;14;7;11;0;1964;0;53;525;775;372;130;53;19;9;8;20;0;2604;0;70;606;1002;551;194;88;27;14;26;26;0
"..QUIRINO";1286;0;74;495;381;191;67;33;13;9;7;16;0;1119;0;59;427;357;165;45;24;18;11;5;8;0;1261;0;65;463;387;171;90;31;18;15;10;11;0;1172;0;66;454;358;172;73;15;13;8;7;6;0;1103;0;52;410;367;160;56;18;16;12;4;8;0;1132;0;43;376;367;215;62;37;18;7;2;5;0;1130;0;41;363;401;189;74;31;14;8;0;9;0;563;0;8;164;221;94;31;22;7;5;2;9;0;822;0;35;234;329;138;38;21;10;6;4;7;0;1258;0;49;328;468;245;91;30;19;12;6;10;0
"REGION III (CENTRAL LUZON)";52786;0;2012;16359;17574;9024;3492;1733;953;605;399;629;6;51408;0;1690;15522;17264;8971;3537;1686;1007;645;426;651;9;50606;0;1565;14833;17368;8974;3615;1643;982;547;378;693;8;49595;0;1459;13996;17221;8914;3881;1527;900;563;413;720;1;51027;0;1330;13506;18384;9711;3908;1582;891;587;409;714;5;51712;0;1074;12853;19070;10196;4142;1664;976;591;407;737;2;50969;0;982;12247;19094;10130;4075;1731;932;616;409;753;0;28183;0;387;5613;11491;6181;2279;935;428;309;186;374;0;39402;0;535;7772;15922;9087;3083;1272;579;365;261;526;0;50633;0;631;8617;19210;12395;4850;2030;941;655;438;866;0
"..AURORA";1175;0;63;388;367;173;85;39;18;12;8;22;0;1270;0;43;390;428;210;88;39;31;14;11;16;0;1121;0;44;343;394;195;70;26;16;10;5;18;0;1178;0;43;401;404;173;76;30;16;11;12;12;0;1105;0;41;314;401;202;65;27;21;7;9;18;0;1187;0;23;314;431;234;98;38;17;7;12;13;0;1067;0;21;274;390;214;89;26;15;12;9;17;0;614;0;13;115;224;150;49;21;12;15;4;11;0;1024;0;20;219;412;215;74;37;18;10;7;12;0;1310;0;38;258;488;293;121;37;24;16;16;19;0
"..BATAAN";3326;0;92;936;1208;614;210;113;62;35;23;33;0;3316;0;78;975;1174;601;240;102;53;37;22;34;0;3201;0;67;811;1177;646;241;105;67;29;19;39;0;2927;0;64;748;1045;595;244;93;50;31;18;39;0;3438;0;50;798;1254;702;326;133;73;38;21;43;0;3242;0;58;713;1210;702;273;114;62;33;31;46;0;3256;0;29;698;1253;758;265;79;57;36;33;48;0;1985;0;17;325;811;502;167;74;33;21;8;27;0;2415;0;19;441;1004;553;229;71;33;29;11;25;0;3164;0;27;500;1164;823;318;144;64;32;31;61;0
"..BULACAN";12995;0;316;3432;4559;2577;971;465;227;181;112;154;1;12767;0;238;3177;4551;2551;1076;460;288;157;108;160;1;12475;0;212;2988;4524;2512;1026;487;283;158;105;178;2;11861;0;206;2765;4304;2450;1021;415;251;144;109;196;0;12587;0;178;2736;4740;2766;1109;398;216;151;108;183;2;12599;0;136;2533;4918;2818;1113;424;259;154;90;153;1;12697;0;113;2383;4873;2867;1266;513;249;156;96;181;0;7236;0;34;1082;3066;1817;660;248;103;81;55;90;0;10672;0;60;1565;4312;2893;1002;397;158;97;73;115;0;13056;0;53;1583;4986;3602;1492;633;265;158;89;195;0
"..NUEVA ECIJA";11539;0;609;3956;3674;1807;666;351;203;102;70;99;2;10568;0;528;3659;3426;1652;566;287;167;97;75;109;2;10425;0;477;3593;3423;1601;596;285;162;107;62;116;3;10115;0;390;3276;3477;1559;699;262;158;91;70;133;0;10180;0;369;3163;3504;1753;666;291;160;101;62;111;0;10468;0;305;2950;3813;1874;754;287;158;102;71;153;1;9898;0;287;2724;3689;1834;641;295;123;112;65;128;0;5110;0;96;1133;2136;1023;378;144;66;52;31;51;0;7579;0;162;1766;3224;1502;455;205;89;47;53;76;0;10320;0;190;2025;4012;2419;853;361;158;111;68;123;0
"..PAMPANGA";10478;0;468;3636;3431;1648;635;293;150;79;45;93;0;10376;0;377;3449;3491;1679;648;311;150;103;64;101;3;10253;0;354;3270;3583;1725;705;272;141;79;43;81;0;10381;0;346;3228;3600;1767;756;260;147;106;61;110;0;10573;0;327;3139;3910;1845;680;269;153;95;54;100;1;11210;0;267;3220;4086;2036;815;341;186;95;55;109;0;11010;0;251;3046;4160;1943;795;317;185;120;71;122;0;6436;0;117;1545;2650;1285;434;189;91;44;22;59;0;8297;0;113;1859;3401;1836;566;232;110;58;32;90;0;10607;0;142;2062;4145;2510;875;346;186;113;69;159;0
"..TARLAC";7773;0;370;2754;2451;1171;485;207;127;71;58;77;2;7583;0;344;2741;2369;1159;442;199;135;80;42;69;3;7395;0;312;2639;2387;1136;447;179;114;48;43;88;2;7409;0;324;2445;2507;1166;475;190;113;72;50;66;1;7575;0;278;2335;2685;1232;508;223;107;71;48;86;2;7350;0;237;2186;2655;1248;481;211;115;76;44;97;0;7611;0;222;2197;2860;1297;488;222;117;72;51;85;0;3879;0;88;1004;1584;722;252;97;44;31;22;35;0;5326;0;125;1384;2094;1062;354;127;68;45;23;44;0;6937;0;143;1551;2759;1437;513;223;89;75;55;92;0
"..ZAMBALES";2702;0;55;715;939;500;194;110;54;53;29;53;0;2610;0;54;596;850;525;235;129;81;58;28;54;0;2946;0;69;699;948;588;251;156;78;48;44;64;1;2856;0;45;629;980;583;298;119;78;37;40;47;0;2535;0;59;527;875;537;242;92;65;54;36;48;0;2515;0;26;501;887;539;268;98;61;40;36;59;0;2478;0;39;469;840;547;244;128;71;51;29;60;0;1172;0;13;197;408;269;133;61;28;23;13;27;0;1621;0;24;259;580;413;129;81;36;31;18;50;0;2470;0;27;371;798;638;300;117;61;58;27;73;0
"..CITY OF ANGELES";1820;0;33;402;611;323;149;93;65;39;37;67;1;1879;0;23;375;638;368;142;89;62;62;45;75;0;1712;0;23;350;562;319;169;65;64;47;37;76;0;1866;0;33;379;601;364;188;93;51;44;39;74;0;1973;0;25;353;680;425;188;85;52;45;45;75;0;2069;0;18;318;739;454;206;95;79;46;46;68;0;1961;0;17;344;720;396;177;90;74;37;37;69;0;1084;0;9;140;404;241;113;55;26;20;22;54;0;1528;0;10;199;576;352;147;71;35;29;23;86;0;1712;0;10;211;542;380;214;94;52;61;56;92;0
"..CITY OF OLONGAPO";978;0;6;140;334;211;97;62;47;33;17;31;0;1039;0;5;160;337;226;100;70;40;37;31;33;0;1078;0;7;140;370;252;110;68;57;21;20;33;0;1002;0;8;125;303;257;124;65;36;27;14;43;0;1061;0;3;141;335;249;124;64;44;25;26;50;0;1072;0;4;118;331;291;134;56;39;38;22;39;0;991;0;3;112;309;274;110;61;41;20;18;43;0;667;0;0;72;208;172;93;46;25;22;9;20;0;940;0;2;80;319;261;127;51;32;19;21;28;0;1057;0;1;56;316;293;164;75;42;31;27;52;0
"REGION IV-A (CALABARZON)";55420;0;1415;14504;19729;11353;4154;1755;961;556;385;605;3;55080;0;1237;13490;20105;11723;4391;1655;944;563;383;589;0;55835;0;1052;13056;20417;12155;4747;1831;962;565;414;635;1;54401;0;1107;12426;19718;12047;4792;1793;939;575;397;606;1;58152;0;1068;12290;21641;13347;5190;1994;978;547;420;677;0;62507;0;891;12417;23159;15039;6048;2175;1100;607;439;632;0;59943;0;738;11204;22707;14301;5900;2224;1092;629;460;688;0;32822;0;259;4614;13470;8934;3102;1162;478;281;181;341;0;50211;0;400;7108;20279;14041;4860;1735;704;386;268;430;0;63838;0;478;7885;23650;18550;7153;2902;1185;749;471;815;0
"..BATANGAS";13237;0;450;3844;4776;2616;841;348;161;73;51;77;0;13120;0;433;3692;4856;2647;859;276;156;90;52;59;0;13277;0;363;3667;4900;2753;887;341;151;80;53;82;0;13175;0;350;3496;4873;2775;1009;313;154;83;49;73;0;14161;0;386;3499;5310;3172;1075;360;163;65;45;86;0;15475;0;308;3608;5870;3607;1276;388;162;112;51;93;0;15222;0;274;3485;5908;3490;1256;387;175;101;60;86;0;8006;0;114;1276;3514;2042;611;230;91;43;30;55;0;13393;0;181;2359;5693;3475;1057;333;117;53;66;59;0;15648;0;187;2433;6124;4464;1414;525;221;109;60;111;0
"..CAVITE";12434;0;166;2528;4516;2838;1083;500;299;166;125;212;1;12594;0;150;2466;4576;3029;1161;456;283;156;120;197;0;12152;0;115;2209;4481;2992;1184;440;247;171;120;193;0;12343;0;131;2123;4529;3094;1227;490;269;165;119;196;0;13325;0;111;2156;4969;3416;1369;540;249;163;138;214;0;14744;0;119;2120;5531;3938;1619;606;316;154;150;191;0;14112;0;64;1798;5291;3843;1623;629;313;189;140;222;0;8432;0;33;933;3301;2489;923;341;142;96;58;116;0;11911;0;30;1133;4671;3752;1328;477;186;119;73;142;0;15390;0;34;1183;5519;4899;2044;774;317;221;132;267;0
"..LAGUNA";11381;0;299;3006;4068;2298;841;351;202;117;74;124;1;11061;0;231;2722;4032;2374;848;316;200;126;83;129;0;12130;0;237;2803;4490;2532;1049;399;237;128;97;158;0;11161;0;205;2482;4068;2496;994;370;196;133;87;129;1;11693;0;231;2407;4477;2591;1042;368;209;122;96;150;0;12628;0;193;2625;4553;2918;1255;474;234;131;90;155;0;11301;0;146;2224;4295;2573;1085;376;218;124;107;153;0;6546;0;46;955;2677;1742;641;237;96;55;34;63;0;9164;0;69;1364;3663;2480;905;334;147;69;53;80;0;12407;0;89;1628;4525;3410;1441;634;258;152;99;171;0
"..QUEZON";8180;0;311;2696;2800;1360;534;195;98;65;49;71;1;7741;0;263;2392;2793;1358;499;190;82;56;41;67;0;7585;0;180;2160;2793;1408;554;213;113;62;38;63;1;7574;0;265;2328;2638;1359;515;210;96;53;37;73;0;7719;0;216;2174;2874;1416;540;212;105;61;44;77;0;8134;0;183;2142;2989;1660;656;220;121;69;39;55;0;8258;0;174;2064;3068;1653;691;279;143;69;51;66;0;3458;0;44;712;1382;769;286;120;54;37;20;34;0;6000;0;73;1145;2374;1439;527;199;100;60;28;55;0;8267;0;120;1554;3065;2048;793;332;113;86;66;90;0
"..RIZAL";9206;0;172;2164;3164;2060;798;341;193;122;79;113;0;9538;0;152;2001;3404;2095;939;404;210;124;80;129;0;9733;0;138;1980;3372;2271;1006;422;200;115;97;132;0;9245;0;144;1770;3285;2105;979;389;209;139;98;127;0;10256;0;110;1831;3626;2515;1080;486;246;129;96;137;0;10463;0;75;1703;3779;2664;1163;456;260;132;105;126;0;10086;0;71;1465;3737;2515;1153;520;234;142;100;149;0;5846;0;19;674;2325;1769;598;216;93;48;35;69;0;8900;0;41;1006;3493;2646;974;375;149;81;45;90;0;11085;0;47;981;3925;3458;1361;608;259;167;112;167;0
"..CITY OF LUCENA";982;0;17;266;405;181;57;20;8;13;7;8;0;1026;0;8;217;444;220;85;13;13;11;7;8;0;958;0;19;237;381;199;67;16;14;9;9;7;0;903;0;12;227;325;218;68;21;15;2;7;8;0;998;0;14;223;385;237;84;28;6;7;1;13;0;1063;0;13;219;437;252;79;31;7;9;4;12;0;964;0;9;168;408;227;92;33;9;4;2;12;0;534;0;3;64;271;123;43;18;2;2;4;4;0;843;0;6;101;385;249;69;17;5;4;3;4;0;1041;0;1;106;492;271;100;29;17;14;2;9;0
"MIMAROPA REGION";14540;0;466;4362;4801;2655;1054;528;227;189;99;151;8;12805;0;413;3724;4348;2344;1011;389;217;133;90;133;3;13571;0;397;3757;4671;2573;1045;496;236;151;95;147;3;12461;0;392;3494;4252;2326;1014;412;198;118;109;146;0;13548;0;378;3477;4623;2773;1154;511;257;125;103;146;1;14746;0;348;3525;5059;3185;1306;520;320;188;103;190;2;14135;1;320;3309;5081;2896;1234;563;288;162;113;168;0;6735;0;134;1398;2510;1496;598;269;120;74;45;91;0;10643;1;231;2155;3930;2509;955;411;179;115;54;103;0;14323;0;264;2649;5047;3415;1518;692;260;164;112;201;1
"..MARINDUQUE";1112;0;21;309;396;236;71;33;22;13;3;8;0;954;0;20;263;345;182;80;19;15;12;8;10;0;1016;0;18;234;399;213;80;36;14;8;3;11;0;917;0;14;230;346;197;72;29;12;9;4;4;0;1097;0;12;256;381;260;114;31;22;7;5;9;0;1015;0;6;191;386;239;122;29;16;10;7;9;0;1020;0;9;191;375;236;114;49;17;11;7;11;0;425;0;2;69;177;103;43;12;10;5;1;3;0;757;0;4;114;288;198;85;41;15;5;2;5;0;940;0;3;124;373;268;96;40;13;15;2;6;0
"..OCCIDENTAL MINDORO";3038;0;93;964;1007;511;201;115;44;44;20;38;1;2018;0;68;660;651;347;149;60;28;21;11;23;0;2369;0;57;755;803;394;174;83;40;27;15;21;0;2354;0;95;739;749;399;182;64;46;24;25;31;0;2117;0;69;596;731;393;153;75;37;22;10;31;0;2358;0;62;660;794;454;180;73;43;30;14;46;2;2521;0;68;664;915;473;188;88;51;26;19;29;0;1133;0;15;262;439;211;85;45;23;19;15;19;0;1773;0;34;440;649;374;137;70;37;11;6;15;0;2312;0;44;512;859;481;217;88;45;22;13;31;0
"..ORIENTAL MINDORO";4138;0;179;1360;1372;668;249;124;55;55;30;44;2;4061;0;158;1264;1390;706;278;105;54;43;30;32;1;4122;0;146;1321;1390;699;264;122;61;48;25;45;1;3994;0;140;1237;1366;686;297;108;57;36;29;38;0;4237;0;125;1212;1457;803;290;145;77;43;33;52;0;4941;0;116;1246;1669;1072;409;177;99;64;32;57;0;4467;0;99;1090;1625;913;350;155;90;55;36;54;0;1810;0;27;370;717;400;155;61;24;19;10;27;0;2990;0;64;655;1153;691;220;84;44;31;16;32;0;4289;0;77;847;1562;988;409;187;76;47;37;58;1
"..PALAWAN";3825;0;146;1232;1174;671;310;148;56;42;21;20;5;3422;0;139;1082;1085;585;285;107;57;33;22;26;1;3702;0;148;1047;1180;705;310;135;73;37;28;37;2;3143;0;122;909;1031;567;249;119;52;29;26;39;0;3650;0;143;1044;1151;684;319;143;73;31;33;28;1;4061;0;148;1057;1318;790;375;149;104;59;27;34;0;3691;1;123;1013;1242;682;319;143;72;41;26;29;0;2018;0;84;533;657;415;157;90;34;16;10;22;0;3061;1;124;740;1064;626;274;113;49;31;17;22;0;4167;0;130;938;1374;892;436;222;60;43;25;47;0
"..ROMBLON";1133;0;14;228;401;252;114;56;27;14;11;16;0;975;0;11;187;365;209;86;38;36;14;8;21;0;1068;0;11;166;401;258;108;54;26;17;12;15;0;987;0;7;182;361;235;107;42;18;7;12;16;0;1262;0;11;176;458;334;153;70;27;11;8;14;0;1056;0;4;152;413;285;104;36;21;11;11;19;0;1103;0;8;162;385;290;124;67;29;13;8;17;0;494;0;3;67;176;131;61;26;16;5;3;6;0;1112;0;2;102;408;323;142;65;24;20;10;16;0;1308;0;4;113;418;383;193;96;35;21;21;24;0
"..CITY OF PUERTO PRINCESA";1294;0;13;269;451;317;109;52;23;21;14;25;0;1375;0;17;268;512;315;133;60;27;10;11;21;1;1294;0;17;234;498;304;109;66;22;14;12;18;0;1066;0;14;197;399;242;107;50;13;13;13;18;0;1185;0;18;193;445;299;125;47;21;11;14;12;0;1315;0;12;219;479;345;116;56;37;14;12;25;0;1333;0;13;189;539;302;139;61;29;16;17;28;0;855;0;3;97;344;236;97;35;13;10;6;14;0;950;0;3;104;368;297;97;38;10;17;3;13;0;1307;0;6;115;461;403;167;59;31;16;14;35;0
"REGION V (BICOL REGION)";25671;0;597;7066;9109;4949;1975;891;441;245;185;212;1;22602;0;508;6240;8197;4358;1753;732;305;195;122;191;1;23882;0;425;6109;8770;4825;1963;777;383;239;154;236;1;24309;0;472;6399;8759;4884;2034;771;363;218;162;247;0;24993;0;429;5958;9180;5266;2216;878;424;211;171;260;0;27044;0;349;5998;9909;6149;2521;978;454;260;174;252;0;26121;0;315;5587;9729;5887;2413;1005;458;261;194;272;0;12212;0;139;2232;4827;2913;1142;437;182;113;82;145;0;23964;0;255;4245;8918;5923;2485;1078;462;238;139;221;0;28595;0;284;4519;10171;7549;3202;1389;625;312;201;343;0
"..ALBAY";6169;0;100;1523;2299;1308;474;198;126;55;39;47;0;5593;0;90;1343;2124;1179;466;192;71;49;24;55;0;5476;0;65;1328;2094;1143;467;181;65;47;33;53;0;5588;0;100;1345;2061;1198;481;184;82;44;33;60;0;5899;0;68;1265;2229;1314;567;208;99;49;36;64;0;6190;0;52;1232;2384;1479;584;206;96;65;32;60;0;6353;0;51;1189;2397;1559;632;254;114;61;50;46;0;3193;0;19;528;1269;797;315;139;37;30;12;47;0;5838;0;37;908;2230;1542;621;265;92;63;28;52;0;6319;0;46;883;2314;1753;723;309;121;62;38;70;0
"..CAMARINES NORTE";2370;0;85;810;793;392;140;72;24;19;13;22;0;2233;0;64;702;875;339;141;52;18;12;7;23;0;2191;0;46;665;788;408;146;61;31;21;10;15;0;2317;0;56;708;861;405;156;53;29;11;13;25;0;2732;0;65;667;975;561;240;107;50;26;19;22;0;2496;0;46;630;911;517;224;77;32;22;15;22;0;2374;0;34;588;850;502;218;86;39;14;12;31;0;1139;0;19;227;417;269;120;38;21;11;8;9;0;2286;0;28;465;816;536;234;103;40;28;12;24;0;2752;0;22;497;958;698;278;144;58;28;23;46;0
"..CAMARINES SUR";9286;0;183;2454;3349;1820;757;334;146;86;70;87;0;7840;0;161;2132;2851;1579;598;237;108;69;45;60;0;8595;0;140;2106;3159;1814;735;278;133;94;50;86;0;8698;0;151;2236;3135;1813;739;265;124;90;65;80;0;8465;0;127;2028;3197;1830;710;248;124;62;62;77;0;10185;0;114;2222;3680;2385;978;382;165;88;67;104;0;9767;0;91;2047;3652;2261;895;381;175;94;70;101;0;4290;0;34;727;1747;1062;403;138;58;35;37;49;0;8025;0;76;1376;3078;2030;817;325;134;64;49;76;0;10387;0;90;1535;3749;2779;1203;473;240;120;85;113;0
"..CATANDUANES";757;0;14;165;294;174;55;30;11;6;2;6;0;906;0;7;209;325;199;94;38;18;7;4;5;0;1061;0;5;174;399;265;117;44;24;12;8;13;0;1063;0;6;224;361;265;121;38;16;13;7;12;0;911;0;6;152;315;245;120;33;15;7;9;9;0;926;0;7;134;342;245;103;44;27;11;7;6;0;976;0;5;139;375;247;118;44;13;14;9;12;0;318;0;1;41;138;80;27;12;8;3;0;8;0;1154;0;4;133;370;352;149;81;35;12;9;9;0;1098;0;2;113;353;332;157;79;33;14;4;11;0
"..MASBATE";3900;0;172;1343;1248;567;248;143;68;51;34;25;1;3284;0;138;1130;1047;520;223;113;42;29;21;21;0;3600;0;121;1143;1252;575;220;119;69;32;30;39;0;3523;0;119;1127;1203;571;242;119;52;31;24;35;0;3643;0;114;1129;1238;623;252;131;57;37;21;41;0;3693;0;91;1086;1322;676;264;108;60;32;28;26;0;3795;0;98;1026;1363;672;302;139;65;50;36;44;0;1846;0;56;479;691;361;119;55;34;23;13;15;0;3494;0;89;856;1268;681;297;135;81;33;18;36;0;4355;0;95;972;1553;975;404;159;83;41;22;51;0
"..SORSOGON";3189;0;43;771;1126;688;301;114;66;28;27;25;0;2746;0;48;724;975;542;231;100;48;29;21;27;1;2959;0;48;693;1078;620;278;94;61;33;23;30;1;3120;0;40;759;1138;632;295;112;60;29;20;35;0;3343;0;49;717;1226;693;327;151;79;30;24;47;0;3554;0;39;694;1270;847;368;161;74;42;25;34;0;2856;0;36;598;1092;646;248;101;52;28;17;38;0;1426;0;10;230;565;344;158;55;24;11;12;17;0;3167;0;21;507;1156;782;367;169;80;38;23;24;0;3684;0;29;519;1244;1012;437;225;90;47;29;52;0
"REGION VI (WESTERN VISAYAS)";38277;0;542;8803;13853;8541;3450;1453;660;379;250;340;6;34982;0;475;8023;12691;7930;3147;1215;586;334;255;323;3;36097;0;439;8013;13200;8230;3414;1251;620;359;222;343;6;35546;0;415;7329;13209;8157;3457;1405;651;333;248;340;2;36143;1;376;7131;13505;8540;3521;1391;679;407;237;354;1;35662;0;334;6425;13215;8760;3829;1497;631;391;235;344;1;34396;0;254;5760;12844;8809;3653;1451;671;359;220;375;0;19540;0;141;3132;7648;5073;1970;767;330;174;119;186;0;25678;0;158;3862;9843;7187;2610;962;483;208;131;234;0;33079;0;180;3923;11535;9736;4118;1738;716;401;265;465;2
"..AKLAN";2806;0;29;543;1021;702;266;108;58;33;21;25;0;2480;0;13;492;885;614;257;112;50;21;11;25;0;3147;0;19;580;1091;803;346;142;80;39;16;31;0;2773;0;14;446;1067;677;298;129;65;34;16;27;0;2751;0;16;422;1006;698;337;120;75;36;18;23;0;2506;0;11;360;947;641;291;109;54;31;23;39;0;2515;0;3;333;927;693;298;130;44;33;21;33;0;1458;0;4;200;596;374;153;66;23;16;7;19;0;1888;0;8;187;736;558;216;93;42;24;9;15;0;2693;0;5;200;903;849;380;175;61;46;25;49;0
"..ANTIQUE";2500;0;23;473;919;629;253;89;48;34;13;19;0;2241;0;19;390;850;566;216;97;48;13;17;25;0;2276;0;15;341;839;618;262;105;39;19;17;21;0;2366;0;10;329;849;669;302;107;45;23;12;20;0;2372;0;13;364;919;580;276;116;43;28;14;19;0;2631;0;8;338;961;681;368;147;58;35;20;15;0;2239;0;4;245;807;635;308;118;52;29;21;20;0;1173;0;4;124;422;359;151;60;29;8;7;9;0;1722;0;4;160;651;537;217;79;37;15;6;16;0;2195;0;6;173;725;692;339;132;54;27;23;24;0
"..CAPIZ";3383;0;43;713;1240;813;298;121;54;38;27;35;1;3098;0;30;642;1147;727;293;109;61;28;26;35;0;3235;0;35;665;1206;740;325;122;50;36;18;38;0;3518;0;36;693;1314;804;383;129;59;30;29;41;0;3705;0;33;659;1415;896;382;155;66;39;29;31;0;3267;0;32;507;1207;821;397;141;63;46;18;35;0;3462;0;14;529;1320;912;349;167;74;39;18;40;0;1778;0;4;250;742;456;180;79;26;17;9;15;0;2490;0;8;333;1008;655;263;102;46;24;17;34;0;3324;0;10;337;1135;987;444;212;85;47;23;44;0
"..GUIMARAS";762;0;14;206;302;144;54;23;5;7;3;4;0;668;0;8;184;252;135;49;23;7;5;3;2;0;650;0;10;151;282;128;42;18;11;3;2;3;0;564;0;12;139;213;114;55;11;4;6;5;4;1;878;0;11;190;344;199;81;28;12;3;2;8;0;863;0;8;182;327;200;86;31;8;10;5;6;0;731;0;4;134;279;185;80;22;11;7;6;3;0;508;0;3;78;214;129;45;16;10;4;6;3;0;739;0;3;122;263;204;85;29;15;9;4;5;0;793;0;6;91;296;235;86;41;13;10;7;8;0
